problemId,tags,solvedCount,rating
2040D,greedy,5095,1900
2040B,,21889,1000
2039H2,implementation,66,3500
2039G,,61,3500
2039F1,number theory,419,2800
2039D,number theory,6068,1700
2039C1,number theory,12056,1200
2039A,,17073,800
2038M,,276,2800
2038K,math,1490,2100
2038I,string suffix structures,638,2500
2038G,,2466,1900
2038E,,130,2900
2038C,sortings,5784,1400
2038A,,4563,1400
2037F,sortings,2557,2100
2037D,,13235,1300
2037B,,24053,800
2036G,interactive,1455,2200
2036E,greedy,8488,1600
2036C,,20482,1100
2036A,,37607,800
2035G2,,92,3500
2035F,dp,990,2500
2035D,greedy,5311,1800
2035B,number theory,18784,900
2034H,number theory,125,3300
2034G1,sortings,55,3500
2034F1,sortings,744,2500
2034D,sortings,5752,1600
2034B,two pointers,14066,1000
2033G,greedy,1618,2200
2033E,dsu,12596,1400
2033C,,15861,1400
2033A,,38249,800
2032E,implementation,1243,2400
2032C,two pointers,14532,1400
2032A,number theory,23496,800
2031E,greedy,2386,2100
2031C,,14152,1300
2031A,math,19662,800
2030G1,,214,2900
2030E,greedy,0,2200
